id,products_url_id,url,title,price,review_rating,review_amount,seller,description,brand,product_line,model,sales_format,page_yield,cartridge_type,comments_scraped,volume_total_ml,data_cadastro_data,data_cadastro_hora,real_prod,real_price,mean_reviews
1,1,https://www.mercadolivre.com.br/cartucho-hp-667-colorido-3ym78ab/p/MLB22658653#polycard_client=search-nordic&searchVariation=MLB22658653&wid=MLB3897978171&position=4&search_layout=grid&type=product&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&sid=search,Cartucho Hp 667 Colorido 3ym78ab,71.9,4.7,1906,vanvan,"Características do Produto:
Volume de páginas impressas: até 120 páginas.
Impressões que funcionam todas as vezes. Cartuchos projetados para alto rendimento. Impressões resistentes à água e que não desbotam com o tempo. Cores mais vibrantes e nítidas. Com Tecnologia anti curvas. Fotos e documentos que duram mais de 50 anos sem perder a cor e a qualidade. Resultados superiores da primeira à última página, sem obstruções ou impressões com bandas. Impressão sustentável, os cartuchos HP são feitos com até 50% de material reciclado.
Compatíveis com a nova geração de impressoras Deskjet Ink Advantage da HP, que contempla as impressoras:
DESKJET INK ADVANTAGE 2376;
DESKJET INK ADVANTAGE 2776;
DESKJET INK ADVANTAGE 2775;
DESKJET INK ADVANTAGE 2375;
DESKJET INK ADVANTAGE 2374;
DESKJET INK ADVANTAGE 1275;
HP Deskjet Ink Advantage Plus 6475;
HP Deskjet Ink Advantage Plus 6476.",HP,Ink Advantage,667,Unidade,120,Original,1,2,2025-06-16,03:16:51,Cartucho HP 667 Colorido,74.9,3.7333333333333334
2,2,https://www.mercadolivre.com.br/cartucho-hp-667-preto-2376-2776-6476/p/MLB22022306#polycard_client=search-nordic&searchVariation=MLB22022306&wid=MLB3713375243&position=14&search_layout=grid&type=product&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&sid=search,Cartucho HP 667 Preto 2376 2776 6476,60.21,4.7,1906,OBERO INFORMATICA,"cartucho HP 667 (3YM79AB) Preto 2ml


Especificações de impressão
-Conteúdo: 2ml
-Tecnologia de impressão: Jato de tinta

Rendimento
-1 Cartucho 667 preto rende até 120 páginas.

Rendimento considerando 5% de cobertura na folha A4.
Para um bom rendimento do cartucho o ideal é não ultrapassarmos os 5% área de cobertura. Quando utilizado o recurso de negritar títulos, trechos ou incluímos imagens essa porcentagem de cobertura facilmente sobe para 10%. Isto faz com que seu cartucho dure menos páginas.

Impressoras Compatíveis
Hp Deskjet Ink Advantage 1275, 2374, 2375, 2376, 2775, 2776
Hp Deskjet Ink Advantage Plus 6475, 6476

DESCRIÇÃO
-Imprima todas as fotos e documentos de alta qualidade.
-Desempenho em alta velocidade as tintas originais HP são elaboradas para ajudar você a imprimir rapidamente sem abrir mão da qualidade.",HP,Ink Advantage,667,Unidade,120,Original,1,2,2025-06-16,03:16:58,Cartucho HP 667 Preto,69.9,3.7333333333333334
5,5,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-do-2-ml/p/MLB37141763#polycard_client=search-nordic&searchVariation=MLB37141763&wid=MLB5211173074&position=5&search_layout=grid&type=product&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&sid=search,Cartucho De Tinta Hp 667 Cor Preto Do 2 Ml,64.69,4.8,3386,Eshop,"Características do Produto:

Cartucho HP 667 preto

Rendimento: 100 páginas (com cobertura de 5%).

Impressoras e Multifuncionais Compatíveis:

Deskjet Ink Advantage 2376; Deskjet Ink Advantage 2776; Deskjet Ink Advantage 6476
HP DeskJet Plus Ink Advantage 6000 series, HP DeskJet Plus Ink Advantage 6400 series, HP Deskjet Ink Advantage 1200 Printer, HP Deskjet Ink Advantage 2300 All-in-One, HP DeskJet Ink Advantage 2700 All-in-One Printer, HP DeskJet Ink Advantage 4100 All-in-One Printer - Deskjet Ink Advantage 2774.",HP,Advantage,667,Unidade,100,Original,1,2,2025-06-16,03:17:17,Cartucho HP 667 Preto,69.9,3.6
12,12,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-colorido-do-2-ml/p/MLB36840204#polycard_client=search-nordic&searchVariation=MLB36840204&wid=MLB5247041942&position=11&search_layout=grid&type=product&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&sid=search,Cartucho De Tinta Hp 667 Cor Preto Colorido Do 2 Ml,151.9,4.7,1906,SCOTCH,"Kit Cartucho Hp 667 Preto + Hp 667 Colorido para impressões de alta qualidade. Com este kit, é possível imprimir até 200 páginas. As impressões possuem durabilidade de até 100 anos.

Compatível com os seguintes modelos de impressoras:

- Hp deskjet 1275
- Deskjet 2374
- Deskjet 2375
- Deskjet 2376
- Deskjet 2775
- Deskjet 2776
- Deskjet ink advantage Plus 6475
- Deskjet ink advantage Plus 6476",HP,Ink Advantage,667,Unidade,120,Original,1,2,2025-06-16,03:18:03,Cartucho HP 667 Colorido,74.9,3.7333333333333334
14,14,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-do-2-ml/p/MLB38358712#polycard_client=search-nordic&searchVariation=MLB38358712&wid=MLB4697490898&position=10&search_layout=grid&type=product&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&sid=search,Cartucho De Tinta Hp 667 Cor Preto Do 2 Ml,73.37,4.8,206,JCMULTVENDAS,"- Volume de páginas impressas: até 100 páginas

- Impressões que funcionam todas as vezes. Cartuchos projetados para alto rendimento

- Impressões resistentes à água e que não desbotam com o tempo

- Cores mais vibrantes e nítidas. Com Tecnologia anti curvas

- Fotos e documentos que duram mais de 50 anos sem perder a cor e a qualidade

- Resultados superiores da primeira à última página, sem obstruções ou impressões com bandas

- Impressão sustentável, os cartuchos HP são feitos com até 50% de material reciclado

Compatibilidade

Serie Deskjet Ink Advantage 2300
- Deskjet Ink Advantage 2374
- Deskjet Ink Advantage 2375
- Deskjet Ink Advantage 2376

Serie Deskjet Ink Advantage 2700
- Deskjet Ink Advantage 2774
- Deskjet Ink Advantage 2775
- Deskjet Ink Advantage 2776
- Deskjet Ink Advantage 2777
- Deskjet Ink Advantage 2874

Serie DeskJet Plus Ink Advantage série 6000

Serie DeskJet Plus Ink Advantage série 6400

Serie Deskjet Ink Advantage 1200

Serie DeskJet Ink Advantage 4100

Itens Inclusos na Embalagem:
- 1 unidade Cartucho de Tinta HP 667 3YM79AL Preto 2ml",HP,Ink Advantage,667,Unidade,100,Original,1,2,2025-06-16,03:18:16,Cartucho HP 667 Preto,69.9,4.266666666666667
17,17,https://produto.mercadolivre.com.br/MLB-4316298374-cartucho-hp-667-preto-original-3ym79ab-667-color-3ym78al-_JM#is_advertising=true&backend_model=search-backend&position=17&search_layout=grid&type=pad&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&is_advertising=true&ad_domain=VQCATCORE_LST&ad_position=17&ad_click_id=YzdiOGMwYWQtODIzNy00M2M3LTkzMTEtNWM4ZjZiOTQyM2Jh,Cartucho Hp 667 Preto Original 3ym79ab + 667 Color 3ym78al,177.75,4.6,67,Tec Print,"Características do Produto .

01 Cartucho HP 667 Preto 3YM79AB HP

Imprima seus documentos todos os dias com alta qualidade garantida a um preço acessível com cartuchos de tinta HP originais de baixo custo, projetados com proteção contra fraude e alertas de pouca tinta o que lhe oferece um desempenho sem preocupações e resultados consistentes.

Especificações .

01 Cartucho HP 667 preto .

Rendimento: 120 páginas .

Compatibilidade :

Deskjet Ink Advantage 2376
Deskjet Ink Advantage 2774
Deskjet Ink Advantage 2776
Deskjet Ink Advantage 6476
Cartucho HP 667 Colorido 3YM78AB HP

Imprima seus documentos todos os dias com alta qualidade garantida a um preço acessível com cartuchos de tinta HP originais de baixo custo, projetados com proteção contra fraude e alertas de pouca tinta o que lhe oferece um desempenho sem preocupações e resultados consistentes.

Especificações .

01 Cartucho HP 667 colorido .

Rendimento: 100 páginas.

Compatibilidade :

Deskjet Ink Advantage 2376
Deskjet Ink Advantage 2774
Deskjet Ink Advantage 2776
Deskjet Ink Advantage 6476",HP,Advantage,667,Unidade,100,Original,1,2,2025-06-16,03:18:36,Cartucho HP 667 Preto,69.9,3.5
28,28,https://www.mercadolivre.com.br/cartucho-tinta-tricolor-667-hp/p/MLB22546333#polycard_client=search-nordic&searchVariation=MLB22546333&wid=MLB3750409891&position=23&search_layout=grid&type=product&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&sid=search,Cartucho Tinta Tricolor 667 Hp,78.0,4.7,77,Park Ecom,"--- QUALIDADE GARANTIDA.

--- PRODUTO NOVO.

--- EMITIMOS NOTA FISCAL PARA PESSOA FÍSICA E JURÍDICA.

--- GARANTIA CONTRA DEFEITOS DE FABRICAÇÃO.

ANÚNCIO CONTENDO: 01 CARTUCHO HP 667 COLORIDO ORIGINAL

DESEMPENHO:
CARTUCHO HP 667 TRICOLOR: 100 PÁGINAS

***PREZADO CLIENTE, ANTES DE CONFIRMAR A COMPRA, VERIFICAR A COMPATIBILIDADE DO CARTUCHO PARA SUA IMPRESSORA. NÃO TROCAMOS CARTUCHOS VIOLADOS POR ERRO DE COMPRA.

Compatibilidade:
Cartucho Compatível com as impressoras HP Deskjet Ink Advantage 1275;
2374;
2375;
2376;
2774;
2776;
2874;
6476.

Aproveite ao máximo sua impressora HP e também sua tinta. Imprima todas as fotos e documentos de alta qualidade que precisar usando os cartuchos de tinta originais HP, que ajudam a garantir que sua impressora HP ofereça os resultados consistentes que você espera.

Ajude a garantir as melhores impressões possíveis na escola, em casa e no trabalho com cartuchos HP desenvolvidos e testados com sua impressora HP e projetados para oferecer impressões consistentemente excepcionais.

- Desenvolvido para oferecer desempenho ótimo desde o primeiro uso
- Produza impressões duradouras e resistentes à descoloração de fotos e documentos que poderão ser apreciados por gerações.
- Otimize a impressão e minimize desperdícios de papel, tinta e energia
- Ao optar pelas tintas originais da HP, você contribui para a economia circular e colabora com o processo de reciclagem da HP, que permite que os produtos tenham uma nova chance de vida.

Média aproximada com base na metodologia de teste ISO / IEC 24711 ou HP e impressão contínua. O desempenho real varia consideravelmente de acordo com o conteúdo das páginas impressas e outros fatores.",HP,Deskjet Ink Advantage,667,Unidade,100,Original,1,2,2025-06-16,03:19:48,Cartucho HP 667 Colorido,74.9,3.769230769230769
37,37,https://www.mercadolivre.com.br/kit-2-cartucho-hp-667-preto-3ym79al-2776-2376-6476/p/MLB43815192#polycard_client=search-nordic&searchVariation=MLB43815192&wid=MLB5196092166&position=24&search_layout=grid&type=product&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&sid=search,Kit 2 Cartucho Hp 667 Preto 3ym79al 2776 2376 6476,178.89,4.7,1906,VIIT,"========================================
Kit 2 Cartucho Hp 667 Preto 3ym79al 2776 2376 6476
========================================

Obtenha a qualidade da HP que você conhece e confia. Imprima documentos todos os dias com texto e imagens nítidas e os custos de impressão acessíveis com os cartuchos HP. Imprima bordas perfeitas em textos e em gráficos, usando Cartuchos HP. Qualidade impressionante de texto e imagens para desfrutar de documentos e fotos.

- Volume de páginas impressas: até 120 páginas (Em modo Rascunho)
- Impressões que funcionam todas as vezes. Cartuchos projetados para alto rendimento
- Impressões resistentes à água e que não desbotam com o tempo
- Cores mais vibrantes e nítidas. Com Tecnologia anti curvas
- Fotos e documentos que duram mais de 50 anos sem perder a cor e a qualidade
- Resultados superiores da primeira à última página, sem obstruções ou impressões com bandas
- Impressão sustentável, os cartuchos HP são feitos com até 50% de material reciclado

Compatibilidade
- Deskjet Ink Advantage 2376
- Deskjet Ink Advantage 2776
- Deskjet Ink Advantage 2774
- Deskjet Ink Advantage 6476

Conteúdo:
2 (dois) Cartuchos de Tinta HP 667 3YM79AL Preto / 2ml

Como Identificar Cartuchos HP:
- Existem diversos itens que precisam ser considerados para se diferenciar os cartuchos HP dos falsificados. Entre eles: etiquetas de segurança visíveis, preço padrão, embalagem adequada e em bom estado, e desempenho dos cartuchos HP.

Abaixo estão algumas maneiras de verificar se o seu produto é genuíno HP:

1. Confira a etiqueta
- Verifique a etiqueta de segurança na caixa e certifique-se de que, à medida que você a movimenta para cima e para baixo e de um lado para o outro, as cores mudam ou o ""HP"" se movimenta pela etiqueta.

2. Digitalize o código
Use o aplicativo HP SureSupply ou algum leitor de código QR para digitalizar o código do selo de segurança do cartucho. Se não for possível captar os códigos QR com o smartphone para fazer a validação on-line.",HP,Ink Advantage,667,Unidade,120,Original,1,4,2025-06-16,03:20:45,Cartucho HP 667 Preto,69.9,3.7333333333333334
43,43,https://produto.mercadolivre.com.br/MLB-2685019937-cartucho-de-tinta-hp-667-preto-original-1275-2376-2775-6475-_JM#polycard_client=search-nordic&position=47&search_layout=grid&type=item&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&wid=MLB2685019937&sid=search,Cartucho De Tinta Hp 667 Preto Original 1275 2376 2775 6475,66.9,4.4,12,OBERO INFORMATICA,"Características do Produto:

Volume de páginas impressas: até 120 páginas.
Impressões que funcionam todas as vezes. Cartuchos projetados para alto rendimento. Impressões resistentes à água e que não desbotam com o tempo. Cores mais vibrantes e nítidas. Com Tecnologia anti curvas. Fotos e documentos que duram mais de 50 anos sem perder a cor e a qualidade. Resultados superiores da primeira à última página, sem obstruções ou impressões com bandas. Impressão sustentável, os cartuchos HP originais são feitos com até 50% de material reciclado.
Compatíveis com a nova geração de impressoras Deskjet Ink Advantage da HP, que contempla as impressoras:

DESKJET INK ADVANTAGE 2376;
DESKJET INK ADVANTAGE 2776;
DESKJET INK ADVANTAGE 2775;
DESKJET INK ADVANTAGE 2375;
DESKJET INK ADVANTAGE 2374;
DESKJET INK ADVANTAGE 1275;
HP Deskjet Ink Advantage Plus 6475;
HP Deskjet Ink Advantage Plus 6476.

Garantia do vendedor: 30 dias",HP,Ink Advantage,667,Unidade,120,Original,1,2,2025-06-16,03:21:23,Cartucho HP 667 Preto,69.9,3.75
53,53,https://produto.mercadolivre.com.br/MLB-5211250278-cartucho-tinta-hp-667-preto-advantage-original-_JM#polycard_client=search-nordic&position=53&search_layout=grid&type=item&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&wid=MLB5211250278&sid=search,Cartucho Tinta Hp 667 Preto Advantage Original,66.99,5.0,,Eshop,"Aproveite ao máximo sua impressora HP e também sua tinta. Imprima todas as fotos e documentos de alta qualidade que precisar usando os cartuchos de tinta originais HP, que ajudam a garantir que sua impressora HP ofereça os resultados consistentes que você espera.

Conclua facilmente seus projetos. Alertas precisos podem ajudar a garantir que você não fique sem tinta na hora errada.

Crie documentos atraentes com os cartuchos de tinta HP, projetados para oferecer cores intensas e texto nítido e preciso.

Especificações:

- Rendimento: até 120 páginas
- Tecnologia de impressão: Jato de Tinta
- Capacidade: 2 ml

Impressoras Compatíveis:

- HP Deskjet Ink Advantage 2376
- HP Deskjet Ink Advantage 2774
- HP Deskjet Ink Advantage 2776
- HP Deskjet Ink Advantage 6476",HP,Ink Advantage,667,Unidade,120,Original,1,2,2025-06-16,03:22:27,Cartucho HP 667 Preto,69.9,4.0
62,62,https://produto.mercadolivre.com.br/MLB-3872004082-cartucho-hp-667-preto-original-1200-2300-2700-_JM#polycard_client=search-nordic&position=8&search_layout=grid&type=item&tracking_id=a05e4e3c-7ee0-4ebf-a2e9-72fe4d227a05&wid=MLB3872004082&sid=search,Cartucho Hp 667 Preto Original,78.97,4.6,97,informticaponto,"Adquira para sua impressora a melhor tinta do mercado! Com impressões inteligentes, que proporcionam excelente desempenho do início ao fim do insumo. Confira mais detalhes do produto abaixo:

Cartucho Hp 667 Preto Original Ink Advantage

Quantidade: 1 un.

Marca: Hp Original Novo Lacrado.

Cor: Preto.

Rendimento: até 60 impressões com 5% de preenchimento no papel A4.

Impressoras compatíveis:

- HP Deskjet Ink Advantage 2376
- HP Deskjet Ink Advantage 2774
- HP Deskjet Ink Advantage 2776
- HP Deskjet Ink Advantage 6476

Diferenciadores:

Impressões que funcionam todas as vezes. Cartuchos projetados para alto rendimento.
Impressões resistentes à água e que não desbotam com o tempo.
Cores mais vibrantes e nítidas. Com Tecnologia anti curvas.
Fotos e documentos que duram mais de 50 anos sem perder a cor e a qualidade.
Resultados superiores da primeira à última página, sem obstruções ou impressões com bandas.

Segurança e Observação:
Garantimos o total respeito ao consumidor. Prestamos um atendimento ágil e rápido. Em caso de devoluções ou problemas com o produto, entrem em contato imediatamente conosco para que possamos analisar o caso mais breve possível.

• Os cartuchos anunciados além de originais e lacrados nas caixas, estão prontos para uso.

• Dúvidas freqüentes:
• Os produtos são novos? R: Sim, todos os produtos são novos e lacrados.
• A mercadoria está disponível à pronta entrega? R: Sim, trabalhamos com produtos em estoque.

Somos a PONTO NET INFORMÁTICA, atuamos há 15 anos oferecendo as melhores oportunidades em toners, impressoras, tintas de recarga e materiais de informática.

Garantia do vendedor: 7 dias",HP,Ink Advantage,667,Unidade,100,Original,1,2,2025-06-16,03:23:26,Cartucho HP 667 Preto,69.9,3.6470588235294117
64,64,https://produto.mercadolivre.com.br/MLB-1817041778-cartucho-hp-667-preto-original-_JM#polycard_client=search-nordic&position=13&search_layout=grid&type=item&tracking_id=a05e4e3c-7ee0-4ebf-a2e9-72fe4d227a05&wid=MLB1817041778&sid=search,Cartucho Hp 667 Preto Original,109.13,4.8,17,TRILHA MULTICOISAS,"Características do Produto:

Volume de páginas impressas: até 120 páginas.
Impressões que funcionam todas as vezes. Cartuchos projetados para alto rendimento. Impressões resistentes à água e que não desbotam com o tempo. Cores mais vibrantes e nítidas. Com Tecnologia anti curvas. Fotos e documentos que duram mais de 50 anos sem perder a cor e a qualidade. Resultados superiores da primeira à última página, sem obstruções ou impressões com bandas. Impressão sustentável, os cartuchos HP originais são feitos com até 50% de material reciclado.
Compatíveis com a nova geração de impressoras Deskjet Ink Advantage da HP, que contempla as impressoras:
DESKJET INK ADVANTAGE 2376;
DESKJET INK ADVANTAGE 2776;
DESKJET INK ADVANTAGE 2775;
DESKJET INK ADVANTAGE 2375;
DESKJET INK ADVANTAGE 2374;
DESKJET INK ADVANTAGE 1275;
HP Deskjet Ink Advantage Plus 6475;
HP Deskjet Ink Advantage Plus 6476.",HP,Ink Advantage,667,Unidade,,Original,1,2,2025-06-16,03:23:39,Cartucho HP 667 Preto,69.9,4.142857142857143
70,70,https://produto.mercadolivre.com.br/MLB-4316298166-cartucho-hp-667-preto-original-3ym79ab-667-color-3ym78al-_JM#polycard_client=search-nordic&position=16&search_layout=grid&type=item&tracking_id=a05e4e3c-7ee0-4ebf-a2e9-72fe4d227a05&wid=MLB4316298166&sid=search,Cartucho Hp 667 Preto Original 3ym79ab + 667 Color 3ym78al,187.99,4.6,67,Tec Print,"Características do Produto .

01 Cartucho HP 667 Preto 3YM79AB HP

Imprima seus documentos todos os dias com alta qualidade garantida a um preço acessível com cartuchos de tinta HP originais de baixo custo, projetados com proteção contra fraude e alertas de pouca tinta o que lhe oferece um desempenho sem preocupações e resultados consistentes.

Especificações .

01 Cartucho HP 667 preto .

Rendimento: 120 páginas .

Compatibilidade :

Deskjet Ink Advantage 2376
Deskjet Ink Advantage 2774
Deskjet Ink Advantage 2776
Deskjet Ink Advantage 6476
Cartucho HP 667 Colorido 3YM78AB HP

Imprima seus documentos todos os dias com alta qualidade garantida a um preço acessível com cartuchos de tinta HP originais de baixo custo, projetados com proteção contra fraude e alertas de pouca tinta o que lhe oferece um desempenho sem preocupações e resultados consistentes.

Especificações .

01 Cartucho HP 667 colorido .

Rendimento: 100 páginas.

Compatibilidade :

Deskjet Ink Advantage 2376
Deskjet Ink Advantage 2774
Deskjet Ink Advantage 2776
Deskjet Ink Advantage 6476",HP,Advantage,667,Unidade,100,Original,1,2,2025-06-16,03:24:19,Cartucho HP 667 Preto,69.9,3.5
88,88,https://produto.mercadolivre.com.br/MLB-1849964605-cartucho-667-hp-preto-original-p-hp-2376-2774-2776-com-nf-_JM#polycard_client=search-nordic&position=33&search_layout=grid&type=item&tracking_id=a05e4e3c-7ee0-4ebf-a2e9-72fe4d227a05&wid=MLB1849964605&sid=search,Cartucho 667 Hp Preto Original P/ Hp 2376 2774 2776 Com Nf,70.68,4.7,514,VIIT,"Obtenha a qualidade da HP que você conhece e confia. Imprima documentos todos os dias com texto e imagens nítidas e os custos de impressão acessíveis com os cartuchos originais HP. Imprima bordas perfeitas em textos e em gráficos, usando Cartuchos Originais HP. Qualidade impressionante de texto e imagens para desfrutar de documentos e fotos.
 
 
ESPECIFICAÇÕES TÉCNICAS
 
- Marca: HP
- Referência: 3YM79A
- Cor: Preto
- Conteúdo: 2ml
- Tipo de impressão: Jato de Tinta Térmico HP
- Desempenho: Aproximadamente 100 páginas
- Peso com embalagens: 50 Gramas
 
 
COMPATIBILIDADE DE IMPRESSORAS
 
- HP Deskjet Ink Advantage 1275
- HP Deskjet Ink Advantage 2374
- HP Deskjet Ink Advantage 2375
- HP Deskjet Ink Advantage 2376
- HP Deskjet Ink Advantage 2774
- HP Deskjet Ink Advantage 2775
- HP Deskjet Ink Advantage 2776
- HP Deskjet Ink Advantage Plus 6475
- HP Deskjet Ink Advantage Plus 6476
 
 
CONTEÚDO DA EMBALAGEM
 
- 1 Cartucho de tinta Preto original HP 667
 
 
QUALIDADES DOS CARTUCHOS HP
 
- Impressões que funcionam todas as vezes. Cartuchos projetados para alto rendimento. 
- Impressões resistentes à água e que não desbotam com o tempo. 
- Cores mais vibrantes e nítidas. Com Tecnologia anti curvas. 
- Fotos e documentos que duram mais de 50 anos sem perder a cor e a qualidade. 
- Resultados superiores da primeira à última página, sem obstruções ou impressões com bandas. 
- Impressão sustentável, os cartuchos HP originais são feitos com até 50% de material reciclado.
 
 
COMO IDENTIFICAR CARTUCHOS ORIGINAIS HP:
 
1. Confira a etiqueta
- Verifique a etiqueta de segurança na caixa e certifique-se de que, à medida que você a movimenta para cima e para baixo e de um lado para o outro, as cores mudam ou o ""HP"" se movimenta pela etiqueta.
 
2. Digitalize o código
Use o aplicativo HP SureSupply ou algum leitor de código QR para digitalizar o código do selo de segurança do cartucho. ",HP,Ink Advantage,667,un,100,Original,1,2,2025-06-16,03:26:14,Cartucho HP 667 Preto,69.9,3.95
95,95,https://produto.mercadolivre.com.br/MLB-5211225064-cartucho-de-tinta-hp-667-colorido-advantage-original-_JM#polycard_client=search-nordic&position=40&search_layout=grid&type=item&tracking_id=a05e4e3c-7ee0-4ebf-a2e9-72fe4d227a05&wid=MLB5211225064&sid=search,Cartucho De Tinta Hp 667 Colorido Advantage Original,68.55,,,Eshop,"Cartucho HP 667 Colorido

Aproveite ao máximo sua impressora HP e também sua tinta. Imprima todas as fotos e documentos de alta qualidade que precisar usando os cartuchos de tinta originais HP, que ajudam a garantir que sua impressora HP ofereça os resultados consistentes que você espera.

Conclua facilmente seus projetos. Alertas precisos podem ajudar a garantir que você não fique sem tinta na hora errada.

Crie documentos atraentes com os cartuchos de tinta HP, projetados para oferecer cores intensas e texto nítido e preciso.

- Rendimento Preto 100 paginas
- Tecnologia de impressão: Jato de Tinta
- Capacidade/Rendimento: 2 ml

Impressoras Compatíveis:
- HP Deskjet Ink Advantage 2376
- HP Deskjet Ink Advantage 2776
- HP Deskjet Ink Advantage 6476",HP,Ink Advantage,667,Unidade,120,Original,1,2,2025-06-16,03:26:58,Cartucho HP 667 Colorido,74.9,
96,96,https://produto.mercadolivre.com.br/MLB-4285003760-kit-cartucho-tinta-original-hp-667-pretocolorido-2376-2776-_JM#polycard_client=search-nordic&position=41&search_layout=grid&type=item&tracking_id=a05e4e3c-7ee0-4ebf-a2e9-72fe4d227a05&wid=MLB4285003760&sid=search,Kit Cartucho Tinta Original Hp 667 Preto/colorido 2376 2776,177.84,4.6,54,Tec Print,"Obtenha a qualidade da HP que você conhece e confia. Imprima documentos todos os dias com texto e imagens nítidas e os custos de impressão acessíveis com os cartuchos originais HP. Imprima bordas perfeitas em textos e em gráficos, usando Cartuchos Originais HP. Qualidade impressionante de texto e imagens para desfrutar de documentos e fotos.



- Volume de páginas impressas: até 100 páginas

- Impressões que funcionam todas as vezes. Cartuchos projetados para alto rendimento

- Impressões resistentes à água e que não desbotam com o tempo

- Cores mais vibrantes e nítidas. Com Tecnologia anti curvas

- Fotos e documentos que duram mais de 50 anos sem perder a cor e a qualidade

- Resultados superiores da primeira à última página, sem obstruções ou impressões com bandas

- Impressão sustentável, os cartuchos HP originais são feitos com até 50% de material reciclado



Compatibilidade

- Deskjet Ink Advantage 2376

- Deskjet Ink Advantage 2776

- Deskjet Ink Advantage 6476



Kit

1 (um) Cartucho de Tinta HP 667 3YM79AL Original Preto / 2ml

1 (um) Cartucho de Tinta HP 667 3YM78AL Original Colorido / 2ml",HP,Advantage,667,Unidade,100,Original,1,2,2025-06-16,03:27:04,Cartucho HP 667 Preto,69.9,3.764705882352941
98,98,https://www.mercadolivre.com.br/kit-2-cartuchos-hp-667-preto-p-2374-2376-2774-2776/p/MLB39018524#polycard_client=search-nordic&searchVariation=MLB39018524&wid=MLB5246599880&position=6&search_layout=grid&type=product&tracking_id=a05e4e3c-7ee0-4ebf-a2e9-72fe4d227a05&sid=search,Kit 2 Cartuchos Hp 667 Preto P/ 2374 2376 2774 2776,157.2,4.8,96,SCOTCH,"Características do Produto
Imprima seus documentos todos os dias com alta qualidade garantida a um preço acessível com cartuchos de tinta HP de baixo custo, projetados com proteção contra fraude e alertas de pouca tinta, oferecendo um desempenho sem preocupações e resultados consistentes.

Especificações
Cartucho HP 667 preto
Rendimento: 120 páginas (cada)

Compatibilidade
Deskjet Ink Advantage 2376
Deskjet Ink Advantage 2774
Deskjet Ink Advantage 2776
Deskjet Ink Advantage 6476

Conteúdo da embalagem:
- 02 Cartuchos HP 667 Preto (Black)",HP,,667,Unidade,120,Original,1,2,2025-06-16,03:27:16,Cartucho HP 667 Preto,69.9,3.6666666666666665
