id,products_url_id,url,title,price,review_rating,review_amount,seller,description,brand,product_line,model,sales_format,page_yield,cartridge_type,comments_scraped,volume_total_ml,data_cadastro_data,data_cadastro_hora,real_prod,real_price
1,1,https://www.mercadolivre.com.br/cartucho-hp-667-colorido-3ym78ab/p/MLB22658653#polycard_client=search-nordic&searchVariation=MLB22658653&wid=MLB3897978171&position=4&search_layout=grid&type=product&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&sid=search,Cartucho Hp 667 Colorido 3ym78ab,71.9,4.7,1906,vanvan,"Características do Produto:
Volume de páginas impressas: até 120 páginas.
Impressões que funcionam todas as vezes. Cartuchos projetados para alto rendimento. Impressões resistentes à água e que não desbotam com o tempo. Cores mais vibrantes e nítidas. Com Tecnologia anti curvas. Fotos e documentos que duram mais de 50 anos sem perder a cor e a qualidade. Resultados superiores da primeira à última página, sem obstruções ou impressões com bandas. Impressão sustentável, os cartuchos HP são feitos com até 50% de material reciclado.
Compatíveis com a nova geração de impressoras Deskjet Ink Advantage da HP, que contempla as impressoras:
DESKJET INK ADVANTAGE 2376;
DESKJET INK ADVANTAGE 2776;
DESKJET INK ADVANTAGE 2775;
DESKJET INK ADVANTAGE 2375;
DESKJET INK ADVANTAGE 2374;
DESKJET INK ADVANTAGE 1275;
HP Deskjet Ink Advantage Plus 6475;
HP Deskjet Ink Advantage Plus 6476.",HP,Ink Advantage,667,Unidade,120,Original,1,2,2025-06-16,03:16:51,,
2,2,https://www.mercadolivre.com.br/cartucho-hp-667-preto-2376-2776-6476/p/MLB22022306#polycard_client=search-nordic&searchVariation=MLB22022306&wid=MLB3713375243&position=14&search_layout=grid&type=product&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&sid=search,Cartucho HP 667 Preto 2376 2776 6476,60.21,4.7,1906,OBERO INFORMATICA,"cartucho HP 667 (3YM79AB) Preto 2ml


Especificações de impressão
-Conteúdo: 2ml
-Tecnologia de impressão: Jato de tinta

Rendimento
-1 Cartucho 667 preto rende até 120 páginas.

Rendimento considerando 5% de cobertura na folha A4.
Para um bom rendimento do cartucho o ideal é não ultrapassarmos os 5% área de cobertura. Quando utilizado o recurso de negritar títulos, trechos ou incluímos imagens essa porcentagem de cobertura facilmente sobe para 10%. Isto faz com que seu cartucho dure menos páginas.

Impressoras Compatíveis
Hp Deskjet Ink Advantage 1275, 2374, 2375, 2376, 2775, 2776
Hp Deskjet Ink Advantage Plus 6475, 6476

DESCRIÇÃO
-Imprima todas as fotos e documentos de alta qualidade.
-Desempenho em alta velocidade as tintas originais HP são elaboradas para ajudar você a imprimir rapidamente sem abrir mão da qualidade.",HP,Ink Advantage,667,Unidade,120,Original,1,2,2025-06-16,03:16:58,,
5,5,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-do-2-ml/p/MLB37141763#polycard_client=search-nordic&searchVariation=MLB37141763&wid=MLB5211173074&position=5&search_layout=grid&type=product&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&sid=search,Cartucho De Tinta Hp 667 Cor Preto Do 2 Ml,64.69,4.8,3386,Eshop,"Características do Produto:

Cartucho HP 667 preto

Rendimento: 100 páginas (com cobertura de 5%).

Impressoras e Multifuncionais Compatíveis:

Deskjet Ink Advantage 2376; Deskjet Ink Advantage 2776; Deskjet Ink Advantage 6476
HP DeskJet Plus Ink Advantage 6000 series, HP DeskJet Plus Ink Advantage 6400 series, HP Deskjet Ink Advantage 1200 Printer, HP Deskjet Ink Advantage 2300 All-in-One, HP DeskJet Ink Advantage 2700 All-in-One Printer, HP DeskJet Ink Advantage 4100 All-in-One Printer - Deskjet Ink Advantage 2774.",HP,Advantage,667,Unidade,100,Original,1,2,2025-06-16,03:17:17,,
6,6,https://produto.mercadolivre.com.br/MLB-2685036387-kit-cartucho-tinta-original-hp-667-pretocolorido-2376-2774-_JM#polycard_client=search-nordic&position=38&search_layout=grid&type=item&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&wid=MLB2685036387&sid=search,Kit Cartucho Tinta Original Hp 667 Preto/colorido 2376 2774,154.9,4.7,3759,OBERO INFORMATICA,"***REVENDEDOR OFICIAL HP BRASIL***

Obtenha a qualidade da HP que você conhece e confia. Imprima documentos todos os dias com texto e imagens nítidas e os custos de impressão acessíveis com os cartuchos originais HP. Imprima bordas perfeitas em textos e em gráficos, usando Cartuchos Originais HP. Qualidade impressionante de texto e imagens para desfrutar de documentos e fotos.



- Volume de páginas impressas: até 100 páginas

- Impressões que funcionam todas as vezes. Cartuchos projetados para alto rendimento

- Impressões resistentes à água e que não desbotam com o tempo

- Cores mais vibrantes e nítidas. Com Tecnologia anti curvas

- Fotos e documentos que duram mais de 50 anos sem perder a cor e a qualidade

- Resultados superiores da primeira à última página, sem obstruções ou impressões com bandas

- Impressão sustentável, os cartuchos HP originais são feitos com até 50% de material reciclado



Compatibilidade

Serie Deskjet Ink Advantage 2300
- Deskjet Ink Advantage 2374
- Deskjet Ink Advantage 2375
- Deskjet Ink Advantage 2376
Serie Deskjet Ink Advantage 2700
- Deskjet Ink Advantage 2774
- Deskjet Ink Advantage 2775
- Deskjet Ink Advantage 2776
- Deskjet Ink Advantage 2777
- Deskjet Ink Advantage 2874
Serie DeskJet Plus Ink Advantage série 6000
Serie DeskJet Plus Ink Advantage série 6400
Serie Deskjet Ink Advantage 1200
Serie DeskJet Ink Advantage 4100




Kit

1 (um) Cartucho de Tinta HP 667 3YM79AL Original Preto / 2ml

1 (um) Cartucho de Tinta HP 667 3YM78AL Original Colorido / 2ml",HP,Advantage,667,Unidade,100,Original,1,2,2025-06-16,03:17:24,,
8,8,https://produto.mercadolivre.com.br/MLB-1754285285-kit-cartucho-667-preto-color-original-hp-2376-2775-2776-6476-_JM#is_advertising=true&backend_model=search-backend&position=8&search_layout=grid&type=pad&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&is_advertising=true&ad_domain=VQCATCORE_LST&ad_position=8&ad_click_id=ZWY1MzQzYWUtNTUyMC00ODFhLWJlMGItODBlMmZkMWNlMjRk,Kit Cartucho 667 Preto Color Original Hp 2376 2775 2776 6476,169.2,4.7,709,Primer Print,"KIT COM 2 CARTUCHOS HP 667 PRETO e COLOR 
 
Produtos originais com NF-e
 
Acompanha
1 CARTUCHO 667 3YM79AB PRETO 2ml
1 CARTUCHO 667 3YM78AB COLOR 2ml
 
Características do Produto:
Marca:  HP 667
Modelo: 3YM79AB e 3YM78AB
Cor da Tinta: Preto e color
Rendimento por página (cores): 120 Páginas
 
Impressoras e Multifuncionais Compatíveis:
Deskjet Ink Advantage 1275, 2374, 2375, 2376, 2775, 2776
Deskjet Ink Advantage Plus 6475, 6476
 
Dimensões do Produto:
Altura da embalagem: 10,29 cm
Largura da embalagem: 11,4 cm
Comprimento da embalagem: 3,63 cm
 
Pesos:
Peso bruto: 0,073 Kg
Peso líquido: 0,073 Kg
 ",HP,,667,Kit,120,Original,1,4,2025-06-16,03:17:37,,
12,12,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-colorido-do-2-ml/p/MLB36840204#polycard_client=search-nordic&searchVariation=MLB36840204&wid=MLB5247041942&position=11&search_layout=grid&type=product&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&sid=search,Cartucho De Tinta Hp 667 Cor Preto Colorido Do 2 Ml,151.9,4.7,1906,SCOTCH,"Kit Cartucho Hp 667 Preto + Hp 667 Colorido para impressões de alta qualidade. Com este kit, é possível imprimir até 200 páginas. As impressões possuem durabilidade de até 100 anos.

Compatível com os seguintes modelos de impressoras:

- Hp deskjet 1275
- Deskjet 2374
- Deskjet 2375
- Deskjet 2376
- Deskjet 2775
- Deskjet 2776
- Deskjet ink advantage Plus 6475
- Deskjet ink advantage Plus 6476",HP,Ink Advantage,667,Unidade,120,Original,1,2,2025-06-16,03:18:03,,
13,13,https://produto.mercadolivre.com.br/MLB-3837311410-kit-cartuchos-tinta-hp-667-preto-hp-667-color-menor-preco-_JM#polycard_client=search-nordic&position=39&search_layout=grid&type=item&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&wid=MLB3837311410&sid=search,Kit Cartuchos Tinta Hp 667 Preto + Hp 667 Color Menor Preço,147.99,4.7,573,vanvan,"*** REVENDEDOR OFICIAL HP BRASIL ***


========================================
Cartucho Hp 667 Preto + Cartucho Hp 667
========================================

Compatibilidade
Serie Deskjet Ink Advantage 2300
- Deskjet Ink Advantage 2373
- Deskjet Ink Advantage 2374
- Deskjet Ink Advantage 2375
- Deskjet Ink Advantage 2376
Serie Deskjet Ink Advantage 2700
- Deskjet Ink Advantage 2774
- Deskjet Ink Advantage 2775
- Deskjet Ink Advantage 2776
- Deskjet Ink Advantage 2777
- Deskjet Ink Advantage 6476
Serie DeskJet Plus Ink Advantage série 6000
Serie DeskJet Plus Ink Advantage série 6400
Serie Deskjet Ink Advantage 1200
Serie DeskJet Ink Advantage 4100


Obtenha a qualidade da HP que você conhece e confia. Imprima documentos todos os dias com texto e imagens nítidas e os custos de impressão acessíveis com os cartuchos originais HP. Imprima bordas perfeitas em textos e em gráficos, usando Cartuchos Originais HP. Qualidade impressionante de texto e imagens para desfrutar de documentos e fotos.

- Volume de páginas impressas: até 120 páginas conforma regra ISO de 5% de cobertura do papel

- Impressões que funcionam todas as vezes. Cartuchos projetados para alto rendimento

- Impressões resistentes à água e que não desbotam com o tempo

- Cores mais vibrantes e nítidas. Com Tecnologia anti curvas

- Fotos e documentos que duram mais de 50 anos sem perder a cor e a qualidade

- Resultados superiores da primeira à última página, sem obstruções ou impressões com bandas

- Impressão sustentável, os cartuchos HP originais são feitos com até 50% de material reciclado

Kit

1 (um) Cartucho de Tinta HP 667 3YM79AL Preto / 2ml

1 (um) Cartucho de Tinta HP 667 3YM78AL Colorido / 2ml",HP,,667,Kit,120,Original,1,4,2025-06-16,03:18:09,,
14,14,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-cor-preto-do-2-ml/p/MLB38358712#polycard_client=search-nordic&searchVariation=MLB38358712&wid=MLB4697490898&position=10&search_layout=grid&type=product&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&sid=search,Cartucho De Tinta Hp 667 Cor Preto Do 2 Ml,73.37,4.8,206,JCMULTVENDAS,"- Volume de páginas impressas: até 100 páginas

- Impressões que funcionam todas as vezes. Cartuchos projetados para alto rendimento

- Impressões resistentes à água e que não desbotam com o tempo

- Cores mais vibrantes e nítidas. Com Tecnologia anti curvas

- Fotos e documentos que duram mais de 50 anos sem perder a cor e a qualidade

- Resultados superiores da primeira à última página, sem obstruções ou impressões com bandas

- Impressão sustentável, os cartuchos HP são feitos com até 50% de material reciclado

Compatibilidade

Serie Deskjet Ink Advantage 2300
- Deskjet Ink Advantage 2374
- Deskjet Ink Advantage 2375
- Deskjet Ink Advantage 2376

Serie Deskjet Ink Advantage 2700
- Deskjet Ink Advantage 2774
- Deskjet Ink Advantage 2775
- Deskjet Ink Advantage 2776
- Deskjet Ink Advantage 2777
- Deskjet Ink Advantage 2874

Serie DeskJet Plus Ink Advantage série 6000

Serie DeskJet Plus Ink Advantage série 6400

Serie Deskjet Ink Advantage 1200

Serie DeskJet Ink Advantage 4100

Itens Inclusos na Embalagem:
- 1 unidade Cartucho de Tinta HP 667 3YM79AL Preto 2ml",HP,Ink Advantage,667,Unidade,100,Original,1,2,2025-06-16,03:18:16,,
15,15,https://www.mercadolivre.com.br/kit-cartucho-hp-667-preto-e-667-colorido-2376-2776/p/MLB39019456#polycard_client=search-nordic&searchVariation=MLB39019456&wid=MLB5081972264&position=20&search_layout=grid&type=product&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&sid=search,Kit Cartucho Hp 667 Preto E 667 Colorido 2376 2776,152.9,4.7,190,TC20240813115050,"KIT CONTENDO: 01 CARTUCHO HP 667 PRETO E 01 HP 667 COLORIDO

DESEMPENHO:
CARTUCHO HP 667 PRETO: 120 PÁGINAS
CARTUCHO HP 667 TRICOLOR: 100 PÁGINAS

Compatibilidade:
Cartucho compatível com as impressoras HP Deskjet Ink Advantage 1275;
2374;
2375;
2376;
2774;
2776;
2874;
6476.

Imprima fotos e documentos de alta qualidade com cartuchos de tinta HP, que ajudam a garantir resultados consistentes.

- Desenvolvido para oferecer desempenho ótimo desde o primeiro uso
- Produza impressões duradouras e resistentes à descoloração
- Otimize a impressão e minimize desperdícios de papel, tinta e energia
- Contribua para a economia circular e colabore com o processo de reciclagem da HP

Média aproximada com base na metodologia de teste ISO / IEC 24711 ou HP e impressão contínua. O desempenho real varia de acordo com o conteúdo das páginas impressas e outros fatores.",HP,Advantage,667,Kit,120,Original,1,4,2025-06-16,03:18:22,,
17,17,https://produto.mercadolivre.com.br/MLB-4316298374-cartucho-hp-667-preto-original-3ym79ab-667-color-3ym78al-_JM#is_advertising=true&backend_model=search-backend&position=17&search_layout=grid&type=pad&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&is_advertising=true&ad_domain=VQCATCORE_LST&ad_position=17&ad_click_id=YzdiOGMwYWQtODIzNy00M2M3LTkzMTEtNWM4ZjZiOTQyM2Jh,Cartucho Hp 667 Preto Original 3ym79ab + 667 Color 3ym78al,177.75,4.6,67,Tec Print,"Características do Produto .

01 Cartucho HP 667 Preto 3YM79AB HP

Imprima seus documentos todos os dias com alta qualidade garantida a um preço acessível com cartuchos de tinta HP originais de baixo custo, projetados com proteção contra fraude e alertas de pouca tinta o que lhe oferece um desempenho sem preocupações e resultados consistentes.

Especificações .

01 Cartucho HP 667 preto .

Rendimento: 120 páginas .

Compatibilidade :

Deskjet Ink Advantage 2376
Deskjet Ink Advantage 2774
Deskjet Ink Advantage 2776
Deskjet Ink Advantage 6476
Cartucho HP 667 Colorido 3YM78AB HP

Imprima seus documentos todos os dias com alta qualidade garantida a um preço acessível com cartuchos de tinta HP originais de baixo custo, projetados com proteção contra fraude e alertas de pouca tinta o que lhe oferece um desempenho sem preocupações e resultados consistentes.

Especificações .

01 Cartucho HP 667 colorido .

Rendimento: 100 páginas.

Compatibilidade :

Deskjet Ink Advantage 2376
Deskjet Ink Advantage 2774
Deskjet Ink Advantage 2776
Deskjet Ink Advantage 6476",HP,Advantage,667,Unidade,100,Original,1,2,2025-06-16,03:18:36,,
19,19,https://www.mercadolivre.com.br/cartucho-de-tinta-hp-667-kit-preto-e-colorido/p/MLB38766141#polycard_client=search-nordic&searchVariation=MLB38766141&wid=MLB5383767248&position=3&search_layout=grid&type=product&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&sid=search,Cartucho De Tinta Hp 667 Kit Preto E Colorido,155.9,4.8,206,COMERCIAL H10,"Características do Produto
Imprima seus documentos todos os dias com alta qualidade garantida a um preço acessível com cartuchos de tinta HP originais de baixo custo, projetados com proteção contra fraude e alertas de pouca tinta o que lhe oferece um desempenho sem preocupações e resultados consistentes.

Especificações

Cartuchos HP 667 Preto e 667 Colorido
Rendimento: 120 páginas (Preto) | 100 Páginas (Colorido)

Compatibilidade

Deskjet Ink Advantage 2376
Deskjet Ink Advantage 2774
Deskjet Ink Advantage 2776
Deskjet Ink Advantage 6476

Quantidade de tinta: 2ML de tinta em ambos os cartuchos (Preto e Colorido)
 
Conteúdo da embalagem:
- 01 Cartucho Novo Original HP 667 Preto (Black)
- 01 Cartucho Novo Original HP 667 Colorido (Color)",HP,Ink Advantage,667,Kit,100,Original,1,4,2025-06-16,03:18:49,,
24,24,https://www.mercadolivre.com.br/kit-com-2-cartuchos-hp-667-preto-2ml-3ym79ab/p/MLB49087253#polycard_client=search-nordic&searchVariation=MLB49087253&wid=MLB4056593427&position=13&search_layout=grid&type=product&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&sid=search,Kit Com 2 Cartuchos Hp 667 Preto 2ml,154.9,5.0,4,Mm Santos,KIT COM 2 CARTUCHOS HP 667 PRETO 2ML - 3YM79AB,HP,,667,Kit,120,Original,1,2,2025-06-16,03:19:22,,
28,28,https://www.mercadolivre.com.br/cartucho-tinta-tricolor-667-hp/p/MLB22546333#polycard_client=search-nordic&searchVariation=MLB22546333&wid=MLB3750409891&position=23&search_layout=grid&type=product&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&sid=search,Cartucho Tinta Tricolor 667 Hp,78.0,4.7,77,Park Ecom,"--- QUALIDADE GARANTIDA.

--- PRODUTO NOVO.

--- EMITIMOS NOTA FISCAL PARA PESSOA FÍSICA E JURÍDICA.

--- GARANTIA CONTRA DEFEITOS DE FABRICAÇÃO.

ANÚNCIO CONTENDO: 01 CARTUCHO HP 667 COLORIDO ORIGINAL

DESEMPENHO:
CARTUCHO HP 667 TRICOLOR: 100 PÁGINAS

***PREZADO CLIENTE, ANTES DE CONFIRMAR A COMPRA, VERIFICAR A COMPATIBILIDADE DO CARTUCHO PARA SUA IMPRESSORA. NÃO TROCAMOS CARTUCHOS VIOLADOS POR ERRO DE COMPRA.

Compatibilidade:
Cartucho Compatível com as impressoras HP Deskjet Ink Advantage 1275;
2374;
2375;
2376;
2774;
2776;
2874;
6476.

Aproveite ao máximo sua impressora HP e também sua tinta. Imprima todas as fotos e documentos de alta qualidade que precisar usando os cartuchos de tinta originais HP, que ajudam a garantir que sua impressora HP ofereça os resultados consistentes que você espera.

Ajude a garantir as melhores impressões possíveis na escola, em casa e no trabalho com cartuchos HP desenvolvidos e testados com sua impressora HP e projetados para oferecer impressões consistentemente excepcionais.

- Desenvolvido para oferecer desempenho ótimo desde o primeiro uso
- Produza impressões duradouras e resistentes à descoloração de fotos e documentos que poderão ser apreciados por gerações.
- Otimize a impressão e minimize desperdícios de papel, tinta e energia
- Ao optar pelas tintas originais da HP, você contribui para a economia circular e colabora com o processo de reciclagem da HP, que permite que os produtos tenham uma nova chance de vida.

Média aproximada com base na metodologia de teste ISO / IEC 24711 ou HP e impressão contínua. O desempenho real varia consideravelmente de acordo com o conteúdo das páginas impressas e outros fatores.",HP,Deskjet Ink Advantage,667,Unidade,100,Original,1,2,2025-06-16,03:19:48,,
35,35,https://produto.mercadolivre.com.br/MLB-3670234132-kit-com-2-cartuchos-hp-667-preto-original-envio-imediato-_JM#polycard_client=search-nordic&position=43&search_layout=grid&type=item&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&wid=MLB3670234132&sid=search,Kit Com 2 Cartuchos Hp 667 Preto Original Envio Imediato,146.57,4.7,73,vanvan,"Descrição:

Características do Produto

Imprima seus documentos todos os dias com alta qualidade garantida a um preço acessível com cartuchos de tinta HP originais de baixo custo, projetados com proteção contra fraude e alertas de pouca tinta o que lhe oferece um desempenho sem preocupações e resultados consistentes.

Especificações

Cartucho HP 667

Rendimento: 100 páginas*

* em modo rascunho com 5% de cobertura do papel

Impressoras e Multifuncionais Compatíveis: Deskjet Ink Advantage 2376; Deskjet Ink Advantage 2776; Deskjet Ink Advantage 6476",HP,,667,Kit,,Original,1,2,2025-06-16,03:20:31,,
37,37,https://www.mercadolivre.com.br/kit-2-cartucho-hp-667-preto-3ym79al-2776-2376-6476/p/MLB43815192#polycard_client=search-nordic&searchVariation=MLB43815192&wid=MLB5196092166&position=24&search_layout=grid&type=product&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&sid=search,Kit 2 Cartucho Hp 667 Preto 3ym79al 2776 2376 6476,178.89,4.7,1906,VIIT,"========================================
Kit 2 Cartucho Hp 667 Preto 3ym79al 2776 2376 6476
========================================

Obtenha a qualidade da HP que você conhece e confia. Imprima documentos todos os dias com texto e imagens nítidas e os custos de impressão acessíveis com os cartuchos HP. Imprima bordas perfeitas em textos e em gráficos, usando Cartuchos HP. Qualidade impressionante de texto e imagens para desfrutar de documentos e fotos.

- Volume de páginas impressas: até 120 páginas (Em modo Rascunho)
- Impressões que funcionam todas as vezes. Cartuchos projetados para alto rendimento
- Impressões resistentes à água e que não desbotam com o tempo
- Cores mais vibrantes e nítidas. Com Tecnologia anti curvas
- Fotos e documentos que duram mais de 50 anos sem perder a cor e a qualidade
- Resultados superiores da primeira à última página, sem obstruções ou impressões com bandas
- Impressão sustentável, os cartuchos HP são feitos com até 50% de material reciclado

Compatibilidade
- Deskjet Ink Advantage 2376
- Deskjet Ink Advantage 2776
- Deskjet Ink Advantage 2774
- Deskjet Ink Advantage 6476

Conteúdo:
2 (dois) Cartuchos de Tinta HP 667 3YM79AL Preto / 2ml

Como Identificar Cartuchos HP:
- Existem diversos itens que precisam ser considerados para se diferenciar os cartuchos HP dos falsificados. Entre eles: etiquetas de segurança visíveis, preço padrão, embalagem adequada e em bom estado, e desempenho dos cartuchos HP.

Abaixo estão algumas maneiras de verificar se o seu produto é genuíno HP:

1. Confira a etiqueta
- Verifique a etiqueta de segurança na caixa e certifique-se de que, à medida que você a movimenta para cima e para baixo e de um lado para o outro, as cores mudam ou o ""HP"" se movimenta pela etiqueta.

2. Digitalize o código
Use o aplicativo HP SureSupply ou algum leitor de código QR para digitalizar o código do selo de segurança do cartucho. Se não for possível captar os códigos QR com o smartphone para fazer a validação on-line.",HP,Ink Advantage,667,Unidade,120,Original,1,4,2025-06-16,03:20:45,,
43,43,https://produto.mercadolivre.com.br/MLB-2685019937-cartucho-de-tinta-hp-667-preto-original-1275-2376-2775-6475-_JM#polycard_client=search-nordic&position=47&search_layout=grid&type=item&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&wid=MLB2685019937&sid=search,Cartucho De Tinta Hp 667 Preto Original 1275 2376 2775 6475,66.9,4.4,12,OBERO INFORMATICA,"Características do Produto:

Volume de páginas impressas: até 120 páginas.
Impressões que funcionam todas as vezes. Cartuchos projetados para alto rendimento. Impressões resistentes à água e que não desbotam com o tempo. Cores mais vibrantes e nítidas. Com Tecnologia anti curvas. Fotos e documentos que duram mais de 50 anos sem perder a cor e a qualidade. Resultados superiores da primeira à última página, sem obstruções ou impressões com bandas. Impressão sustentável, os cartuchos HP originais são feitos com até 50% de material reciclado.
Compatíveis com a nova geração de impressoras Deskjet Ink Advantage da HP, que contempla as impressoras:

DESKJET INK ADVANTAGE 2376;
DESKJET INK ADVANTAGE 2776;
DESKJET INK ADVANTAGE 2775;
DESKJET INK ADVANTAGE 2375;
DESKJET INK ADVANTAGE 2374;
DESKJET INK ADVANTAGE 1275;
HP Deskjet Ink Advantage Plus 6475;
HP Deskjet Ink Advantage Plus 6476.

Garantia do vendedor: 30 dias",HP,Ink Advantage,667,Unidade,120,Original,1,2,2025-06-16,03:21:23,,
45,45,https://produto.mercadolivre.com.br/MLB-2685026226-kit-cartucho-hp-667-preto-hp-667-colorido-originais-_JM#polycard_client=search-nordic&position=49&search_layout=grid&type=item&tracking_id=206f77b1-f99f-425e-b5b2-1c0e286966da&wid=MLB2685026226&sid=search,Kit Cartucho Hp 667 Preto + Hp 667 Colorido Originais ,153.1,4.6,91,OBERO INFORMATICA,"Tenha em sua casa ou em seu escritório os cartuchos originais Hp 667 preto e Hp 667 colorido, com o kit você imprime até 200 paginas. Garanta as melhores impressões para seus trabalhos, imprima suas fotos com a qualidade que dura até 100 anos.

Veja quais modelos de impressoras utilizam este modelo.

Hp deskjet 1275, deskjet 2374, deskjet 2375, deskjet 2376 deskjet 2775 deskjet 2776 deskjet ink advantage Plus 6475 e deskjet ink advantage Plus 6476

Aguardamos sua Compra !",HP,,667,Unidade,100,Original,1,2,2025-06-16,03:21:35,,
